State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights
Meghalaya,Rainy,Medium,12506,"Train: 1241 INR, Flight: 5728 INR, Car Rental: 2442 INR, Bus: 707 INR",Local Cuisine: 879 INR per day,3-star: 3637 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Wildlife Safari, Boating",High,4.8/5,Winter,"Khasi, Garo",Moderately Safe,Yes,Festival
Assam,Rainy,High,35704,"Bus: 479 INR, Flight: 4347 INR, Train: 637 INR",Local Cuisine: 1999 INR per day,Homestay: 3478 INR per night,"Kaziranga National Park, Majuli Island",River Rafting,High,4.1/5,Summer,Assamese,Very Safe,Yes,Art Exhibitions
Arunachal Pradesh,Rainy,Low,44474,"Train: 1919 INR, Car Rental: 1837 INR, Flight: 6936 INR",Local Cuisine: 1687 INR per day,Homestay: 3983 INR per night,"Ziro Valley, Tawang Monastery","Wildlife Safari, Cultural Tours",High,4.3/5,Summer,"Hindi, English",Very Safe,No,Festival
Assam,Sunny,Low,28097,"Bus: 559 INR, Car Rental: 1611 INR, Train: 595 INR",Local Cuisine: 1395 INR per day,3-star: 4642 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Trekking, Wildlife Safari",High,4.3/5,Winter,Assamese,Moderately Safe,No,Festival
Manipur,Rainy,High,28394,"Car Rental: 2707 INR, Bus: 529 INR, Train: 1326 INR",Local Cuisine: 1612 INR per day,Homestay: 1543 INR per night,"Loktak Lake, Kangla Fort","Boating, Cultural Tours",Low,3.5/5,Winter,Manipuri,Moderately Safe,No,Festival
Arunachal Pradesh,Sunny,Low,25606,"Flight: 6772 INR, Car Rental: 2869 INR, Train: 853 INR, Bus: 841 INR",Local Cuisine: 1584 INR per day,Homestay: 1148 INR per night,"Tawang Monastery, Ziro Valley",River Rafting,High,3.5/5,Winter,"Hindi, English",Moderately Safe,No,Local Traditions
Nagaland,Rainy,High,36678,"Train: 866 INR, Bus: 382 INR",Local Cuisine: 597 INR per day,Homestay: 1604 INR per night,"Kohima War Cemetery, Dzükou Valley",Boating,Low,3.7/5,Summer,"English, Nagamese",Very Safe,No,Local Traditions
Meghalaya,Rainy,Medium,18641,"Train: 1762 INR, Car Rental: 2693 INR, Bus: 231 INR, Flight: 6831 INR",Local Cuisine: 970 INR per day,Homestay: 4785 INR per night,"Living Root Bridges, Cherrapunji",Wildlife Safari,Low,4.4/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Local Traditions
Meghalaya,Pleasant,Low,44937,"Train: 721 INR, Flight: 3175 INR, Bus: 467 INR",Local Cuisine: 1271 INR per day,Luxury Resort: 3134 INR per night,"Cherrapunji, Living Root Bridges","Trekking, Cultural Tours, Boating",High,4.1/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Art Exhibitions
Nagaland,Pleasant,Medium,39037,"Train: 1158 INR, Flight: 4613 INR, Bus: 620 INR",Local Cuisine: 1239 INR per day,Homestay: 1503 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, Wildlife Safari, Boating",Low,3.6/5,Summer,"English, Nagamese",Moderately Safe,No,Art Exhibitions
